id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total,cantidad_winsor
order_426,user_7171,2025-04-21,Mexico,mobile,social,Tablet-Standard-64GB,Electronica,2,330.04,5.0,655.08,2
order_427,user_6621,2025-05-08,Colombia,desktop,social,Laptop-Gaming-16GB,Electronica,1,176.1,0.0,176.1,1
order_428,user_5591,2025-04-08,Argentina,desktop,social,Laptop-Gaming-16GB,Electronica,1,459.02,0.0,459.02,1
order_429,user_7417,2025-04-24,Mexico,desktop,paid_search,Blender-XL-Red,Hogar,2,34.26,10.0,58.519999999999996,2
order_430,user_4802,2025-06-15,Colombia,desktop,social,Blender-XL-Red,Hogar,1,214.03,5.0,209.03,1
order_431,user_4372,2025-01-22,Colombia,desktop,social,Jacket-Winter-M,Moda,1,392.21,0.0,392.21,1
order_432,user_5170,2025-05-09,Colombia,mobile,social,Sneakers-Urban-42,Moda,2,49.57,5.0,94.14,2
order_433,user_5515,2025-06-14,Argentina,desktop,organic,Tablet-Standard-64GB,Electronica,1,467.88,10.0,457.88,1
order_434,user_1982,2025-03-12,Colombia,desktop,social,Sneakers-Urban-42,Moda,2,219.8,10.0,429.6,2
order_435,user_3275,2025-01-26,Argentina,mobile,social,Sneakers-Urban-42,Moda,1,140.41,15.0,125.41,1
order_436,user_1249,2025-04-03,Colombia,mobile,organic,Jacket-Winter-M,Moda,1,69.38,15.0,54.379999999999995,1
order_437,user_3299,2025-02-21,Mexico,desktop,social,Tablet-Standard-64GB,Electronica,1,345.98,0.0,345.98,1
order_438,user_3243,2025-06-22,Argentina,desktop,paid_search,Vacuum-Pro-Black,Hogar,1,390.19,5.0,385.19,1
order_439,user_3394,2025-03-19,Mexico,desktop,paid_search,Vacuum-Pro-Black,Hogar,1,200.0,0.0,200.0,1
order_440,user_6033,2025-06-24,Colombia,mobile,paid_search,Jacket-Winter-M,Moda,2,324.55,0.0,649.1,2
order_441,user_6898,2025-02-18,Colombia,desktop,paid_search,Jacket-Winter-M,Moda,2,191.75,15.0,368.5,2
order_442,user_1583,2025-02-05,Mexico,mobile,organic,Jacket-Winter-M,Moda,1,372.17,10.0,362.17,1
order_443,user_928,2025-05-20,Mexico,desktop,organic,Jacket-Winter-M,Moda,1,293.33,0.0,293.33,1
order_444,user_105,2025-01-03,Mexico,mobile,social,Jacket-Winter-M,Moda,2,169.38,15.0,323.76,2
order_445,user_7769,2025-03-14,Argentina,desktop,organic,Vacuum-Pro-Black,Hogar,2,447.74,5.0,890.48,2
order_446,user_6222,2025-04-14,Colombia,mobile,paid_search,Phone-Pro-128GB,Electronica,1,23.74,0.0,23.74,1
order_447,user_2917,2025-05-29,Colombia,desktop,organic,Vacuum-Pro-Black,Hogar,1,265.94,0.0,265.94,1
order_448,user_3332,2025-01-04,Argentina,desktop,organic,Tablet-Standard-64GB,Electronica,1,274.5,0.0,274.5,1
order_449,user_3111,2025-05-12,Argentina,mobile,organic,Vacuum-Pro-Black,Hogar,1,309.25,0.0,309.25,1
order_450,user_1828,2025-02-08,Argentina,mobile,social,Tablet-Standard-64GB,Electronica,1,370.1,15.0,355.1,1
order_451,user_2814,2025-02-28,Mexico,desktop,organic,Vacuum-Pro-Black,Hogar,1,446.11,0.0,446.11,1
order_452,user_6593,2025-02-23,Argentina,mobile,social,Sneakers-Urban-42,Moda,2,328.21,0.0,656.42,2
order_453,user_3948,2025-05-13,Mexico,desktop,organic,Blender-XL-Red,Hogar,2,80.87,0.0,161.74,2
order_454,user_4619,2025-05-22,Argentina,desktop,organic,Tablet-Standard-64GB,Electronica,2,452.87,0.0,905.74,2
order_455,user_2425,2025-04-29,Argentina,desktop,organic,Phone-Pro-128GB,Electronica,1,50.71,0.0,50.71,1
order_456,user_4547,2025-01-22,Argentina,desktop,social,Blender-XL-Red,Hogar,1,450.24,5.0,445.24,1
order_457,user_543,2025-02-18,Mexico,mobile,social,Jacket-Winter-M,Moda,1,358.78,0.0,358.78,1
order_458,user_6321,2025-06-28,Argentina,mobile,organic,Sneakers-Urban-42,Moda,2,177.36,0.0,354.72,2
order_459,user_1554,2025-04-23,Argentina,desktop,social,Vacuum-Pro-Black,Hogar,1,304.84,0.0,304.84,1
order_460,user_4307,2025-05-23,Mexico,desktop,social,Sneakers-Urban-42,Moda,1,69.97,0.0,69.97,1
order_461,user_2882,2025-02-05,Mexico,mobile,paid_search,Sneakers-Urban-42,Moda,1,117.53,10.0,107.53,1
order_462,user_3632,2025-02-02,Colombia,desktop,organic,Phone-Pro-128GB,Electronica,2,413.69,0.0,827.38,2
order_463,user_5469,2025-01-03,Mexico,desktop,paid_search,Jacket-Winter-M,Moda,1,337.57,10.0,327.57,1
order_464,user_4015,2025-06-18,Colombia,desktop,paid_search,Blender-XL-Red,Hogar,1,66.53,0.0,66.53,1
order_465,user_2039,2025-03-28,Mexico,desktop,social,Vacuum-Pro-Black,Hogar,1,167.17,5.0,162.17,1
order_466,user_2233,2025-04-19,Mexico,mobile,organic,Blender-XL-Red,Hogar,1,55.89,5.0,50.89,1
order_467,user_4439,2025-04-14,Mexico,mobile,organic,Sneakers-Urban-42,Moda,2,137.78,0.0,275.56,2
order_468,user_4404,2025-06-26,Argentina,desktop,social,Vacuum-Pro-Black,Hogar,1,237.66,0.0,237.66,1
order_469,user_7202,2025-03-25,Colombia,desktop,organic,Jacket-Winter-M,Moda,1,458.6,10.0,448.6,1
order_470,user_431,2025-05-26,Colombia,desktop,paid_search,Sneakers-Urban-42,Moda,1,373.45,0.0,373.45,1
order_471,user_2254,2025-02-05,Mexico,desktop,social,Sneakers-Urban-42,Moda,1,268.65,0.0,268.65,1
order_472,user_4042,2025-03-26,Mexico,mobile,social,Sneakers-Urban-42,Moda,2,245.81,0.0,491.62,2
order_473,user_6952,2025-06-04,Argentina,mobile,social,Sneakers-Urban-42,Moda,1,246.52,5.0,241.52,1
order_474,user_5257,2025-05-27,Argentina,mobile,social,Vacuum-Pro-Black,Hogar,1,315.93,5.0,310.93,1
order_475,user_2891,2025-04-08,Colombia,desktop,paid_search,Jacket-Winter-M,Moda,2,302.46,5.0,599.92,2
order_476,user_3575,2025-04-11,Argentina,desktop,social,Phone-Pro-128GB,Electronica,1,456.64,0.0,456.64,1
order_477,user_6072,2025-04-09,Mexico,mobile,paid_search,Sneakers-Urban-42,Moda,2,427.03,0.0,854.06,2
order_478,user_3504,2025-01-28,Mexico,mobile,social,Vacuum-Pro-Black,Hogar,2,296.89,10.0,583.78,2
order_479,user_232,2025-04-26,Mexico,mobile,organic,Jacket-Winter-M,Moda,1,237.18,0.0,237.18,1
order_480,user_6483,2025-03-19,Argentina,mobile,organic,Blender-XL-Red,Hogar,1,490.33,0.0,490.33,1
order_481,user_5807,2025-01-27,Argentina,desktop,organic,Blender-XL-Red,Hogar,2,484.21,10.0,958.42,2
order_482,user_6197,2025-02-15,Colombia,mobile,social,Sneakers-Urban-42,Moda,1,317.78,5.0,312.78,1
order_483,user_5224,2025-06-26,Argentina,mobile,social,Blender-XL-Red,Hogar,1,397.03,10.0,387.03,1
order_484,user_6000,2025-01-07,Mexico,mobile,organic,Sneakers-Urban-42,Moda,2,438.53,0.0,877.06,2
order_485,user_4768,2025-01-18,Mexico,desktop,organic,Blender-XL-Red,Hogar,1,71.23,15.0,56.230000000000004,1
order_486,user_3620,2025-04-09,Argentina,desktop,social,Phone-Pro-128GB,Electronica,1,172.62,0.0,172.62,1
order_487,user_5269,2025-03-01,Colombia,desktop,paid_search,Vacuum-Pro-Black,Hogar,2,270.55,0.0,541.1,2
order_488,user_5723,2025-05-15,Argentina,mobile,paid_search,Sneakers-Urban-42,Moda,1,403.11,0.0,403.11,1
order_489,user_6612,2025-01-15,Argentina,mobile,social,Jacket-Winter-M,Moda,1,333.83,10.0,323.83,1
order_490,user_3839,2025-01-03,Mexico,desktop,organic,Sneakers-Urban-42,Moda,2,70.4,5.0,135.8,2
order_491,user_1190,2025-04-16,Mexico,mobile,paid_search,Tablet-Standard-64GB,Electronica,1,352.36,5.0,347.36,1
order_492,user_7792,2025-01-29,Colombia,mobile,organic,Blender-XL-Red,Hogar,2,24.74,10.0,39.48,2
order_493,user_622,2025-04-18,Mexico,desktop,organic,Tablet-Standard-64GB,Electronica,2,495.85,0.0,991.7,2
order_494,user_5723,2025-01-18,Argentina,mobile,organic,Sneakers-Urban-42,Moda,2,133.2,5.0,261.4,2
order_495,user_3692,2025-02-22,Argentina,desktop,organic,Blender-XL-Red,Hogar,2,351.52,0.0,703.04,2
order_496,user_5452,2025-02-22,Argentina,mobile,organic,Phone-Pro-128GB,Electronica,2,41.88,0.0,83.76,2
order_497,user_1763,2025-06-20,Colombia,mobile,organic,Vacuum-Pro-Black,Hogar,2,155.93,10.0,301.86,2
order_498,user_1991,2025-06-04,Mexico,mobile,social,Blender-XL-Red,Hogar,1,472.32,10.0,462.32,1
order_499,user_4684,2025-03-21,Colombia,desktop,organic,Jacket-Winter-M,Moda,1,483.73,0.0,483.73,1
order_500,user_3193,2025-05-09,Argentina,mobile,organic,Jacket-Winter-M,Moda,1,288.33,0.0,288.33,1
order_501,user_7137,2025-04-28,Argentina,desktop,social,Laptop-Gaming-16GB,Electronica,2,123.09,0.0,246.18,2
order_502,user_6366,2025-01-02,Argentina,mobile,paid_search,Sneakers-Urban-42,Moda,2,487.52,5.0,970.04,2
order_503,user_1604,2025-04-25,Mexico,mobile,social,Tablet-Standard-64GB,Electronica,1,25.87,15.0,10.870000000000001,1
order_504,user_7847,2025-04-13,Mexico,desktop,social,Tablet-Standard-64GB,Electronica,1,483.22,15.0,468.22,1
order_505,user_3519,2025-03-05,Mexico,mobile,social,Blender-XL-Red,Hogar,2,180.89,0.0,361.78,2
order_506,user_7179,2025-05-26,Mexico,mobile,organic,Tablet-Standard-64GB,Electronica,1,156.59,0.0,156.59,1
order_507,user_6668,2025-04-28,Mexico,desktop,social,Jacket-Winter-M,Moda,1,426.97,0.0,426.97,1
order_508,user_3109,2025-01-11,Mexico,desktop,organic,Sneakers-Urban-42,Moda,1,438.9,0.0,438.9,1
order_509,user_170,2025-03-15,Colombia,desktop,organic,Laptop-Gaming-16GB,Electronica,2,224.95,10.0,439.9,2
order_510,user_7473,2025-04-27,Argentina,mobile,social,Jacket-Winter-M,Moda,2,374.38,0.0,748.76,2
order_511,user_4538,2025-03-18,Mexico,desktop,organic,Sneakers-Urban-42,Moda,2,314.33,0.0,628.66,2
order_512,user_6729,2025-02-14,Mexico,desktop,paid_search,Jacket-Winter-M,Moda,1,117.37,15.0,102.37,1
order_513,user_4102,2025-02-15,Mexico,desktop,organic,Phone-Pro-128GB,Electronica,2,410.16,0.0,820.32,2
order_514,user_2101,2025-04-21,Argentina,desktop,organic,Vacuum-Pro-Black,Hogar,2,30.05,15.0,45.1,2
order_515,user_5669,2025-06-18,Colombia,mobile,paid_search,Tablet-Standard-64GB,Electronica,1,479.38,10.0,469.38,1
order_516,user_6037,2025-05-26,Argentina,mobile,social,Tablet-Standard-64GB,Electronica,1,317.61,15.0,302.61,1
order_517,user_5681,2025-06-28,Mexico,desktop,organic,Laptop-Gaming-16GB,Electronica,1,211.87,10.0,201.87,1
order_518,user_7837,2025-03-03,Mexico,mobile,paid_search,Blender-XL-Red,Hogar,1,268.78,0.0,268.78,1
order_519,user_6168,2025-02-10,Colombia,desktop,social,Tablet-Standard-64GB,Electronica,2,390.79,10.0,771.58,2
order_520,user_6552,2025-06-10,Colombia,desktop,paid_search,Blender-XL-Red,Hogar,1,134.87,0.0,134.87,1
order_521,user_6964,2025-06-20,Argentina,desktop,paid_search,Sneakers-Urban-42,Moda,2,463.85,0.0,927.7,2
order_522,user_6155,2025-06-28,Colombia,mobile,organic,Blender-XL-Red,Hogar,2,464.95,0.0,929.9,2
order_523,user_2661,2025-02-25,Mexico,mobile,paid_search,Blender-XL-Red,Hogar,1,382.98,5.0,377.98,1
order_524,user_7594,2025-04-16,Colombia,desktop,organic,Sneakers-Urban-42,Moda,1,236.45,0.0,236.45,1
order_525,user_2258,2025-05-22,Colombia,mobile,social,Tablet-Standard-64GB,Electronica,1,475.74,10.0,465.74,1
order_526,user_4716,2025-04-05,Mexico,mobile,organic,Vacuum-Pro-Black,Hogar,2,224.55,0.0,449.1,2
order_527,user_6764,2025-01-27,Argentina,mobile,organic,Sneakers-Urban-42,Moda,1,352.98,0.0,352.98,1
order_528,user_3114,2025-03-25,Mexico,mobile,organic,Vacuum-Pro-Black,Hogar,1,39.77,0.0,39.77,1
order_529,user_7982,2025-02-12,Argentina,desktop,paid_search,Tablet-Standard-64GB,Electronica,1,411.43,0.0,411.43,1
order_530,user_2528,2025-05-10,Mexico,desktop,organic,Tablet-Standard-64GB,Electronica,2,330.25,15.0,645.5,2
order_531,user_4579,2025-01-07,Mexico,mobile,organic,Laptop-Gaming-16GB,Electronica,1,41.87,10.0,31.869999999999997,1
order_532,user_4803,2025-06-27,Mexico,mobile,social,Blender-XL-Red,Hogar,2,420.15,0.0,840.3,2
order_533,user_4326,2025-04-29,Argentina,desktop,organic,Blender-XL-Red,Hogar,2,291.93,0.0,583.86,2
order_534,user_6058,2025-04-13,Colombia,desktop,organic,Phone-Pro-128GB,Electronica,2,261.82,5.0,518.64,2
order_535,user_2088,2025-04-12,Mexico,mobile,paid_search,Tablet-Standard-64GB,Electronica,1,493.57,15.0,478.57,1
order_536,user_6132,2025-03-06,Argentina,desktop,organic,Sneakers-Urban-42,Moda,2,32.15,0.0,64.3,2
order_537,user_810,2025-02-04,Argentina,mobile,organic,Tablet-Standard-64GB,Electronica,1,71.65,0.0,71.65,1
order_538,user_1386,2025-04-29,Colombia,desktop,paid_search,Jacket-Winter-M,Moda,2,141.54,5.0,278.08,2
order_539,user_3919,2025-01-18,Mexico,desktop,organic,Laptop-Gaming-16GB,Electronica,1,440.25,0.0,440.25,1
order_540,user_3777,2025-06-18,Colombia,mobile,social,Blender-XL-Red,Hogar,1,457.72,0.0,457.72,1
order_541,user_3715,2025-04-23,Argentina,mobile,social,Blender-XL-Red,Hogar,2,478.7,15.0,942.4,2
order_542,user_6703,2025-03-13,Mexico,desktop,organic,Phone-Pro-128GB,Electronica,2,43.61,5.0,82.22,2
order_543,user_7357,2025-02-13,Colombia,mobile,paid_search,Laptop-Gaming-16GB,Electronica,1,125.71,10.0,115.71,1
order_544,user_3169,2025-06-05,Mexico,desktop,organic,Tablet-Standard-64GB,Electronica,2,154.2,0.0,308.4,2
order_545,user_5362,2025-03-17,Argentina,desktop,paid_search,Blender-XL-Red,Hogar,2,252.73,10.0,495.46,2
order_546,user_5,2025-04-11,Colombia,desktop,paid_search,Blender-XL-Red,Hogar,1,268.65,10.0,258.65,1
order_547,user_2052,2025-06-21,Colombia,desktop,organic,Jacket-Winter-M,Moda,2,36.06,15.0,57.120000000000005,2
order_548,user_2352,2025-06-23,Argentina,desktop,paid_search,Blender-XL-Red,Hogar,2,441.03,5.0,877.06,2
order_549,user_4640,2025-04-23,Colombia,mobile,paid_search,Sneakers-Urban-42,Moda,1,492.8,0.0,492.8,1
order_550,user_5076,2025-02-25,Mexico,mobile,organic,Tablet-Standard-64GB,Electronica,2,244.45,10.0,478.9,2
order_551,user_4417,2025-06-22,Mexico,desktop,organic,Tablet-Standard-64GB,Electronica,1,192.92,0.0,192.92,1
order_552,user_1220,2025-04-24,Colombia,mobile,social,Sneakers-Urban-42,Moda,2,406.89,5.0,808.78,2
order_553,user_2708,2025-06-12,Colombia,mobile,organic,Blender-XL-Red,Hogar,1,57.14,15.0,42.14,1
order_554,user_2352,2025-06-14,Argentina,desktop,paid_search,Tablet-Standard-64GB,Electronica,1,459.72,10.0,449.72,1
order_555,user_2810,2025-06-18,Mexico,mobile,organic,Vacuum-Pro-Black,Hogar,2,168.07,5.0,331.14,2
order_556,user_792,2025-04-10,Argentina,mobile,social,Jacket-Winter-M,Moda,1,462.03,5.0,457.03,1
order_557,user_5752,2025-04-24,Argentina,mobile,organic,Sneakers-Urban-42,Moda,1,147.54,0.0,147.54,1
order_558,user_5907,2025-01-02,Colombia,desktop,social,Vacuum-Pro-Black,Hogar,2,259.44,10.0,508.88,2
order_559,user_3219,2025-04-07,Colombia,mobile,social,Laptop-Gaming-16GB,Electronica,2,231.5,10.0,453.0,2
order_560,user_6332,2025-03-05,Argentina,desktop,organic,Tablet-Standard-64GB,Electronica,2,219.33,5.0,433.66,2
order_561,user_2160,2025-03-03,Colombia,mobile,organic,Blender-XL-Red,Hogar,1,482.68,15.0,467.68,1
order_562,user_6339,2025-01-05,Colombia,mobile,social,Jacket-Winter-M,Moda,2,213.3,10.0,416.6,2
order_563,user_2874,2025-01-04,Argentina,desktop,social,Jacket-Winter-M,Moda,2,197.53,0.0,395.06,2
order_564,user_6322,2025-02-19,Colombia,desktop,organic,Laptop-Gaming-16GB,Electronica,1,338.93,0.0,338.93,1
order_565,user_6329,2025-01-17,Argentina,mobile,paid_search,Jacket-Winter-M,Moda,1,401.98,5.0,396.98,1
order_566,user_2406,2025-01-25,Mexico,mobile,organic,Sneakers-Urban-42,Moda,2,40.33,0.0,80.66,2
order_567,user_7394,2025-06-20,Argentina,mobile,social,Blender-XL-Red,Hogar,1,451.02,0.0,451.02,1
order_568,user_3218,2025-02-12,Mexico,mobile,organic,Sneakers-Urban-42,Moda,1,160.79,0.0,160.79,1
order_569,user_1823,2025-05-12,Colombia,desktop,paid_search,Sneakers-Urban-42,Moda,2,60.24,0.0,120.48,2
order_570,user_3938,2025-03-25,Mexico,mobile,paid_search,Sneakers-Urban-42,Moda,1,190.05,0.0,190.05,1
order_571,user_7398,2025-06-10,Colombia,mobile,social,Jacket-Winter-M,Moda,2,491.12,0.0,982.24,2
order_572,user_7968,2025-02-23,Argentina,desktop,organic,Jacket-Winter-M,Moda,2,114.5,0.0,229.0,2
order_573,user_7579,2025-04-12,Colombia,desktop,paid_search,Phone-Pro-128GB,Electronica,2,260.38,5.0,515.76,2
order_574,user_3715,2025-01-31,Argentina,mobile,social,Jacket-Winter-M,Moda,1,330.65,0.0,330.65,1
order_575,user_7732,2025-01-28,Argentina,desktop,social,Laptop-Gaming-16GB,Electronica,1,46.5,5.0,41.5,1
order_576,user_4126,2025-02-14,Colombia,desktop,organic,Phone-Pro-128GB,Electronica,2,307.35,10.0,604.7,2
order_577,user_1084,2025-06-17,Argentina,desktop,organic,Phone-Pro-128GB,Electronica,2,45.61,5.0,86.22,2
order_578,user_7341,2025-04-10,Colombia,mobile,social,Sneakers-Urban-42,Moda,2,142.27,5.0,279.54,2
order_579,user_47,2025-02-26,Mexico,mobile,organic,Sneakers-Urban-42,Moda,1,181.64,0.0,181.64,1
order_580,user_7460,2025-03-13,Colombia,desktop,paid_search,Blender-XL-Red,Hogar,1,203.01,0.0,203.01,1
order_581,user_1032,2025-04-05,Argentina,mobile,organic,Jacket-Winter-M,Moda,2,431.95,10.0,853.9,2
order_582,user_2431,2025-02-25,Argentina,desktop,paid_search,Jacket-Winter-M,Moda,1,80.85,0.0,80.85,1
order_583,user_5242,2025-06-03,Colombia,mobile,social,Jacket-Winter-M,Moda,1,107.09,5.0,102.09,1
order_584,user_3940,2025-01-27,Mexico,desktop,social,Vacuum-Pro-Black,Hogar,2,172.99,10.0,335.98,2
order_585,user_4760,2025-05-26,Argentina,desktop,organic,Blender-XL-Red,Hogar,2,243.17,0.0,486.34,2
order_586,user_6635,2025-01-25,Colombia,desktop,paid_search,Blender-XL-Red,Hogar,1,274.65,5.0,269.65,1
order_587,user_1463,2025-06-11,Argentina,mobile,paid_search,Blender-XL-Red,Hogar,2,485.16,0.0,970.32,2
order_588,user_7446,2025-06-23,Colombia,mobile,paid_search,Vacuum-Pro-Black,Hogar,2,408.07,10.0,806.14,2
order_589,user_5738,2025-06-27,Argentina,desktop,social,Vacuum-Pro-Black,Hogar,2,49.32,0.0,98.64,2
order_590,user_2109,2025-02-14,Argentina,desktop,organic,Laptop-Gaming-16GB,Electronica,2,87.5,0.0,175.0,2
order_591,user_2266,2025-06-26,Mexico,mobile,organic,Phone-Pro-128GB,Electronica,2,203.22,5.0,401.44,2
order_592,user_4063,2025-06-20,Argentina,desktop,organic,Blender-XL-Red,Hogar,2,282.42,10.0,554.84,2
order_593,user_3227,2025-03-27,Colombia,mobile,paid_search,Vacuum-Pro-Black,Hogar,1,314.09,0.0,314.09,1
order_594,user_6412,2025-05-30,Mexico,desktop,organic,Vacuum-Pro-Black,Hogar,2,443.5,0.0,887.0,2
order_595,user_995,2025-05-11,Argentina,desktop,social,Tablet-Standard-64GB,Electronica,2,337.8,0.0,675.6,2
order_596,user_4797,2025-03-01,Mexico,desktop,paid_search,Tablet-Standard-64GB,Electronica,2,20.96,0.0,41.92,2
order_597,user_2076,2025-06-30,Mexico,desktop,paid_search,Jacket-Winter-M,Moda,1,188.29,5.0,183.29,1
order_598,user_803,2025-03-01,Mexico,desktop,organic,Vacuum-Pro-Black,Hogar,1,361.06,10.0,351.06,1
order_599,user_3520,2025-02-01,Colombia,mobile,social,Laptop-Gaming-16GB,Electronica,2,88.41,0.0,176.82,2
order_600,user_7282,2025-04-20,Argentina,mobile,organic,Blender-XL-Red,Hogar,1,285.12,5.0,280.12,1
order_601,user_7105,2025-06-08,Argentina,desktop,social,Vacuum-Pro-Black,Hogar,1,40.72,0.0,40.72,1
order_602,user_5255,2025-02-05,Argentina,desktop,social,Blender-XL-Red,Hogar,2,292.64,15.0,570.28,2
order_603,user_4457,2025-03-17,Mexico,mobile,organic,Laptop-Gaming-16GB,Electronica,1,354.13,0.0,354.13,1
order_604,user_5214,2025-04-07,Argentina,mobile,social,Sneakers-Urban-42,Moda,1,227.01,0.0,227.01,1
order_605,user_398,2025-01-10,Colombia,desktop,organic,Vacuum-Pro-Black,Hogar,2,432.81,10.0,855.62,2
order_606,user_5054,2025-06-03,Argentina,desktop,paid_search,Blender-XL-Red,Hogar,1,472.09,10.0,462.09,1
order_607,user_7601,2025-04-24,Colombia,mobile,organic,Blender-XL-Red,Hogar,2,337.24,0.0,674.48,2
order_608,user_4264,2025-03-26,Colombia,desktop,paid_search,Sneakers-Urban-42,Moda,1,94.73,5.0,89.73,1
order_609,user_4381,2025-03-23,Colombia,desktop,organic,Jacket-Winter-M,Moda,1,162.43,10.0,152.43,1
order_610,user_7959,2025-01-11,Argentina,desktop,social,Sneakers-Urban-42,Moda,2,89.29,0.0,178.58,2
order_611,user_3612,2025-04-17,Argentina,desktop,social,Blender-XL-Red,Hogar,2,173.44,0.0,346.88,2
order_612,user_6945,2025-03-15,Mexico,mobile,paid_search,Vacuum-Pro-Black,Hogar,2,495.1,0.0,990.2,2
order_613,user_2484,2025-02-28,Argentina,desktop,paid_search,Sneakers-Urban-42,Moda,2,491.28,0.0,982.56,2
order_614,user_5269,2025-03-26,Colombia,desktop,organic,Sneakers-Urban-42,Moda,1,424.68,0.0,424.68,1
order_615,user_2395,2025-02-22,Colombia,mobile,paid_search,Blender-XL-Red,Hogar,1,252.59,10.0,242.59,1
order_616,user_1313,2025-06-20,Argentina,mobile,organic,Vacuum-Pro-Black,Hogar,1,272.97,10.0,262.97,1
order_617,user_4864,2025-06-25,Colombia,mobile,social,Phone-Pro-128GB,Electronica,1,337.36,10.0,327.36,1
order_618,user_4185,2025-02-26,Colombia,desktop,paid_search,Blender-XL-Red,Hogar,2,313.64,5.0,622.28,2
order_619,user_7274,2025-04-08,Argentina,desktop,paid_search,Laptop-Gaming-16GB,Electronica,1,86.32,5.0,81.32,1
order_620,user_1190,2025-02-16,Mexico,mobile,social,Phone-Pro-128GB,Electronica,2,432.44,0.0,864.88,2
order_621,user_3422,2025-01-02,Argentina,mobile,organic,Jacket-Winter-M,Moda,1,299.36,5.0,294.36,1
order_622,user_2911,2025-05-06,Argentina,mobile,paid_search,Jacket-Winter-M,Moda,2,439.37,0.0,878.74,2
order_623,user_6471,2025-02-19,Argentina,desktop,paid_search,Jacket-Winter-M,Moda,2,158.56,0.0,317.12,2
order_624,user_5945,2025-02-06,Colombia,desktop,social,Vacuum-Pro-Black,Hogar,2,291.62,0.0,583.24,2
order_625,user_7823,2025-02-02,Mexico,mobile,social,Sneakers-Urban-42,Moda,1,171.61,0.0,171.61,1
order_626,user_5934,2025-06-01,Colombia,desktop,organic,Sneakers-Urban-42,Moda,1,417.34,0.0,417.34,1
